"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT06"
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-01",,,,,,"35","31",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-02",,,,,,"35","30",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-03","    5","0.04",,"0.0","0.0","35","30","31",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-04",,,"0.35","0.0","0.0","36","31","35","    1",
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-05",,,,,,"36","28",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-06",,,,,,"33","28",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-07",,,,,,"31","24",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-08",,,,,,"26","21",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-09",,,,,,"26","21",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-10",,,,,,"29","24",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-11","    7","0.32",,"0.0","0.0","31","26","31",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-12",,,"0.06","0.0","0.0","34","28","32",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-13",,,,"0.0","0.0","34","23",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-14",,,,"0.0","0.0","23","9",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-15",,,,"0.0","0.0","31","5",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-16","    4","0.00",,"0.0","0.0","39","24","27",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-17",,,"0.15","0.0","0.0","38","27","33","    1",
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-18",,,"0.07","0.0","0.0","40","32","32",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-19",,,"0.05","0.4","0.0","32","29","31",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-20",,,,,,"31","25",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-21",,,,,,"25","21",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-22","    3","0.23",,"2.4","2.0","28","22","28",,"    1"
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-23",,,"0.00","0.0","2.0","30","24","24",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-24",,,"0.03","0.4","2.0","30","24","27",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-25",,,"0.00","0.0","2.0","32","26","26",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-26",,,"0.13","1.0","3.0","31","24","24",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-27",,,,,"3.0","29","11",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-28","    2","0.01",,"0.2","3.0","28","10","20",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-29",,,,,,"24","16",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-30","    2","0.13",,"1.6","4.0","24","14","14",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-01-31",,,"0.01","0.2","4.0","17","-4","-3",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-01",,,"0.00","0.0","4.0","18","-3","13",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-02",,,"0.00","0.0","4.0","27","13","21",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-03",,,,,,"28","1",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-04",,,,,,"10","-8",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-05",,,,,,"28","4",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-06",,,,,"3.0","34","18","18",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-07",,,"0.05","0.0","3.0","33","17","33",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-08",,,"0.00","0.0","3.0","37","20","23",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-09",,,"0.00","0.0","1.0","50","20","27",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-10",,,,,,"33","23",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-11",,,,"2.6","3.0","31","20","21",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-12",,,,,,"44","12",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-13",,,,,"2.0","47","18","21",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-14",,,"0.00","0.0","1.0","43","21","29",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-15",,,"0.06","0.0","1.0","53","29","43",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-16",,,"0.03","0.0","0.0","47","20","21",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-17",,,"0.35","5.8","5.0","23","9","9",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-18",,,,,,"21","4",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-19",,,,,,"36","15",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-20",,,,,,"47","16",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-21",,,,,"0.0","33","24","29",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-22",,,"0.03","0.4","1.0","29","17","19",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-23",,,"0.46","4.2","4.0","25","16","17",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-24",,,"0.10","1.4","6.0","22","2","6",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-25",,,"0.10","1.0","7.0","16","6","14",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-26",,,,,,"28","10",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-27",,,,,"7.0","31","5","14",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-02-28",,,"0.26","1.9","8.0","29","14","24",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-01",,,"0.00","0.0","6.0","41","22","23",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-02",,,"0.06","1.0","5.0","42","22","30",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-03",,,,,,"32","25",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-04",,,,,,"36","27",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-05",,,,,,"48","20",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-06",,,,,"2.0","46","26","30",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-07",,,"0.07","0.2","2.0","32","18","26",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-08",,,"0.00","0.0","2.0","39","18",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-09",,,"0.00","0.0","2.0","39","13","26",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-10",,,,,,"37","19",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-11",,,,,,"30","20",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-12",,,,,,"33","12",,,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-13",,,,,"1.0","28","17","17",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-14",,,"0.00","0.0","1.0","23","12","12",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-15",,,"0.00","0.0","1.0","33","8","9",,
"USC00200342","ATLANTA, MI US","45.00471","-84.14043","267.9","2023-03-16",,,"0.00","0.0","1.0","46","9","39",,
